id,paperid,quesno,score,answer,answerHas
266,5,43,0,B,2
267,5,44,0,C,4
268,5,45,0,B,2
269,5,46,0,D,8
270,5,47,0,C,4
271,5,48,0,D,8
272,5,49,0,B,2
273,5,50,0,A,1
274,5,51,0,D,8
275,5,52,0,C,4
276,5,53,0,B,2
277,5,54,0,C,4
278,5,55,0,B,2
279,5,56,0,A,1
280,5,57,0,C,4
281,5,58,0,B,2
282,5,59,0,A,1
283,5,60,0,D,8
284,6,1,0,A,1
285,6,2,0,C,4
286,6,3,0,B,2
287,6,4,0,C,4
288,6,5,0,A,1
289,6,6,0,A,1
290,6,7,0,B,2
291,6,8,0,A,1
292,6,9,0,B,2
293,6,11,0,A,1
294,6,12,0,C,4
295,6,13,0,B,2
296,6,14,0,B,2
297,6,15,0,A,1
298,6,16,0,C,4
299,6,17,0,B,2
300,6,18,0,B,2
301,6,19,0,C,4
302,6,20,0,C,4
303,6,21,0,A,1
304,6,22,0,B,2
305,6,23,0,C,4
306,6,24,0,A,1
307,6,25,0,A,1
308,6,26,0,D,8
309,6,27,0,C,4
310,6,28,0,A,1
311,6,30,0,C,4
312,6,31,0,D,8
313,6,32,0,D,8
314,6,33,0,D,8
315,6,34,0,B,2
316,6,35,0,D,8
317,6,36,0,F,32
318,6,37,0,A,1
319,6,38,0,E,16
320,6,39,0,G,64
321,6,40,0,B,2
322,6,41,0,D,8
323,6,42,0,A,1
324,6,43,0,B,2
325,6,44,0,C,4
326,6,45,0,C,4
327,6,46,0,A,1
328,6,47,0,B,2
329,6,48,0,C,4
330,6,49,0,B,2
331,6,50,0,B,2
332,6,51,0,A,1
333,6,52,0,C,4
334,6,53,0,A,1
335,6,54,0,B,2
336,6,55,0,A,1
337,6,56,0,C,4
338,6,57,0,B,2
339,6,58,0,C,4
340,6,59,0,A,1
341,6,60,0,C,4
342,7,1,0,B,2
343,7,2,0,A,1
344,7,3,0,A,1
345,7,4,0,B,2
346,7,5,0,C,4
347,7,6,0,B,2
348,7,7,0,A,1
349,7,8,0,A,1
350,7,9,0,C,4
351,7,11,0,A,1
352,7,12,0,C,4
353,7,13,0,B,2
